Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header_x,release time_x,article content_x,formatted date_x,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,header_y,release time_y,article content_y,formatted date_y,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,header,release time,article content,formatteddate,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-09-03 15:20:00,146.5,146.52,146.44,146.44,878.0,-0.020000000000010232,0,689.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:21:00,146.42,146.48,146.42,146.48,1375.0,-0.020000000000010232,0,497.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:22:00,146.48,146.52,146.48,146.52,51.0,0.10000000000002274,1,-1324.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:23:00,146.56,146.56,146.56,146.56,631.0,0.0800000000000125,1,580.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:25:00,146.58,146.58,146.56,146.58,393.0,0.020000000000010232,1,-238.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:26:00,146.56,146.58,146.56,146.58,104.0,0.0,0,-289.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:27:00,146.6,146.6,146.6,146.6,186.0,0.039999999999992035,1,82.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:28:00,146.64,146.64,146.6,146.6,945.0,0.0,0,759.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:29:00,146.6,146.6,146.6,146.6,335.0,-0.039999999999992035,0,-610.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:30:00,146.58,146.6,146.56,146.58,1576.0,-0.01999999999998181,0,1241.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 15:31:00,146.54,146.54,146.46,146.52,2671.0,-0.060000000000002274,0,1095.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
